Focal Animal Recording,,,,,,,,,,,,ID  ,Date ,Site,Obs,start time,End time,Ethogram,Study code 
(c)Michael J. Renner,,,,,,,,,,,,Cy0949,8/28/18,Other Site,MR,8/28/18 11:10,8/28/18 11:15,Gen behavior .csv,Sass
,,,,,,,,,,,,,,,,,,,
Observer:,MR,,,,,,,,,,,,,,,,,,
Study Code:,Sass,,,,,,,,,,,,,,,,,,
Indiv ID:,Cy0949,,,,,,,,,,,,,,,,,,
Obs Site:,Other Site,,,,,,,,,,,,,,,,,,
Obs Type:,Live,,,,,,,,,,,,,,,,,,
Weather:,Sunny,,,,,,,,,,,,,,,,,,
Temperature:,,,,,,,,,,,,,,,,,,,
Behavior Date:,8/28/18,,,,,,,,,,,,,,,,,,
Behavior Time:,11:09 AM,,,,,,,,,,,,,,,,,,
Ethogram:,Gen behavior .csv,,,,,,,,,,,,,,,,,,
Coding Began:,8/28/18 11:10,,,,,,,,,,,,,,,,,,
Coding Ended:,8/28/18 11:15,,,,,,,,,,,,,,,,,,
Session duration:,0:05:09,,,,,,,,,,,,,,,,,,
App Version:,1.0.37.0,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Observer, IndivID, Weather, Temp, Date, Version, BehavCode, StartTime, Duration, CumTime,,,,,,,,,,
MR,Cy0949,Sunny,,8/28/18,1.0.37.0,Lipsmack,11:10:20,00:32.9,00:32.9,,,,,,,,,,
MR,Cy0949,Sunny,,8/28/18,1.0.37.0,Inactive,11:10:52,00:04.8,00:37.7,,,,,,,,,,
MR,Cy0949,Sunny,,8/28/18,1.0.37.0,Lipsmack,11:10:57,01:55.8,02:33.5,,,,,,,,,,
MR,Cy0949,Sunny,,8/28/18,1.0.37.0,Other,11:12:53,00:46.5,03:20.0,,,,,,,,,,
MR,Cy0949,Sunny,,8/28/18,1.0.37.0,Locomotion,11:13:40,00:11.4,03:31.4,,,,,,,,,,
MR,Cy0949,Sunny,,8/28/18,1.0.37.0,Lipsmack,11:13:51,00:06.3,03:37.7,,,,,,,,,,
MR,Cy0949,Sunny,,8/28/18,1.0.37.0,Other,11:13:57,00:11.1,03:48.9,,,,,,,,,,
MR,Cy0949,Sunny,,8/28/18,1.0.37.0,Lipsmack,11:14:08,00:05.6,03:54.4,,,,,,,,,,
MR,Cy0949,Sunny,,8/28/18,1.0.37.0,Locomotion,11:14:14,00:14.7,04:09.1,,,,,,,,,,
MR,Cy0949,Sunny,,8/28/18,1.0.37.0,Lipsmack,11:14:29,00:11.8,04:20.9,,,,,,,,,,
MR,Cy0949,Sunny,,8/28/18,1.0.37.0,Other,11:14:40,00:03.4,04:24.4,,,,,,,,,,
MR,Cy0949,Sunny,,8/28/18,1.0.37.0,Lipsmack,11:14:44,00:34.6,04:58.9,,,,,,,,,,
MR,Cy0949,Sunny,,8/28/18,1.0.37.0,Locomotion,11:15:18,00:06.8,05:05.8,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,#NAME?,,,,,,,,,,,,,