Sheetname,ID,Date,Site,Obs,start time,End time,Ses Duration,Ethogram,Study code,Tot Duration,Ses Dur,Obs type,Housing,Room/cage,Unique Beh,Most frequent,Freq,Long Dura,Duration,Hi NBC beh Freq,NBC Freq,Hi NBC Beh Dur,NBC Dur,Inactive Frequency,Inactive Duration,Inactive Ave duration,Loco Frequency,Loco Duration,Loco Ave dur,Pacing Frequency,Pacing Duration,Pacing ave dur,Jumping Freq,Jumping Duration,Jumping ave dur,Selfbite Frequency,Selfbite Duration,Selfbite Ave Dur,Selfdirect Frequency,Selfdirect Duration,Selfdirect Ave Dur,Swing/spin/flip Frequency,Swing/spin/flip Duration,Swing/spin/flip Ave Dur,Headtoss Frequency,Headtoss Duration,Headtoss Ave Dur,Rock Frequency,Rock Duration,Rock Ave Dur,Salute Frequency,Salute Duration,Salute Ave Dur,Feargrimace Frequency,Feargrimace Duration,Feargrimace Ave Dur,Scratch Frequency,Scratch Duration,Scratch Ave Dur,Yawn Frequency,Yawn Duration,Yawn Ave Dur,Lipsmack Frequency,Lipsmack Duration,Lipsmack Ave Dur,Present Frequency,Present Duration,Present Ave Dur,Cling Frequency,Cling Duration,Cling Ave Dur,Mantleshake Frequency,Mantleshake Duration,Mantleshake Ave Dur,Vocal Frequency,Vocal Duration,Vocal Ave Dur,Threat/display Frequency,Threat/display Duration,Threat/display Ave Dur,Aggression Frequency,Aggression Duration,Aggression Ave Dur,Eat/drink Frequency,Eat/drink Duration,Eat/drink Ave Dur,Tactile/explore Frequency,Tactile/explore Duration,Tactile/explore Ave Dur,Social/play Frequency,Social/play Duration,Social/play Ave Dur,Groom Frequency,Groom Duration,Groom Ave Dur,SocGroom Frequency,SocGroom Duration,SocGroom Ave Dur,Sex/self/other Frequency,Sex/self/other Duration,Sex/self/other Ave Dur,Other Frequency,Other Duration,Other Ave Dur,Notes,SIB,Inactive 90%,Pacing 25%,Pacing 50%,Vocal 25%
0,2021 bass-r10075-2021-5-25-ta1232,r10075,2021-5-25,Blank Park Zoo,ta,05/25/2021 12:32:46 PM,05/25/2021 12:37:55 PM,00:05:09,2021 bass.csv,bass,00:05:01.7,00:05:09,Assessment,Single,a270c10,1,Inactive,1,Inactive,00:05:01.7006600,Inactive,1,Inactive,00:05:01.7006600,1,00:05:01.7006600,00:05:01.7006600,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,sleeping,not,Inactive,not,not,not
1,2021 bass-R19105-2021-5-25-Js1210,R19105,2021-5-25,Blank Park Zoo,Js,05/25/2021 12:10:35 PM,05/25/2021 12:15:38 PM,00:05:02,2021 bass.csv,2021bass,00:05:01.2,00:05:02,Assessment,Pair,bmah1c33,5,Vocal,40,Vocal,00:03:16.0,Locomotion,33,Locomotion,00:01:21.1,8,00:00:17.2,00:00:02.1,33,00:01:21.1,00:00:02.5,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,1,00:00:02.4292145,00:00:02.4292145,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,40,00:03:16.0,00:00:04.9,1,00:00:04.4282663,00:00:04.4282663,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,,not,not,not,not,Vocal
2,2021 bass-r16051-2021-5-25-mr1120,r16051,2021-5-25,Blank Park Zoo,mr,05/25/2021 11:20:18 AM,05/25/2021 11:25:22 AM,00:05:03,2021 bass.csv,2021 bass,00:05:01.9,00:05:03,Assessment,Pair,c436c11,4,Inactive,7,Eat/drink,00:02:59.5,Inactive,7,Eat/drink,00:02:59.5,7,00:01:33.3,00:00:13.3,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,2,00:00:14.7,00:00:07.4,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,7,00:02:59.5,00:00:25.6,0,00:00:00.0,,0,00:00:00.0,,1,00:00:14.3976842,00:00:14.3976842,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,,not,not,not,not,not
3,2021 bass-r18014-2021-5-25-ta1042,r18014,2021-5-25,Blank Park Zoo,ta,05/25/2021 10:42:27 AM,05/25/2021 10:47:34 AM,00:05:06,2021 bass.csv,bass,00:05:05.3,00:05:06,Assessment,Single,a275c6,5,Inactive,4,Inactive,00:02:31.5,Inactive,4,Inactive,00:02:31.5,4,00:02:31.5,00:00:37.9,2,00:00:07.7,00:00:03.9,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,1,00:00:02.4348180,00:00:02.4348180,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,1,00:00:04.7877603,00:00:04.7877603,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,1,00:02:18.8425104,00:02:18.8425104,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,,not,not,not,not,not
4,2021 bass-R19110-2021-5-25-Js1246,R19110,2021-5-25,Blank Park Zoo,Js,05/25/2021 12:46:26 PM,05/25/2021 12:51:47 PM,00:05:21,2021 bass.csv,2021bass,00:05:01.1,00:05:21,Assessment,Pair,bmqh1c5,3,Cling,2,Cling,00:04:58.2,Locomotion,1,Locomotion,00:00:01.5090659,0,00:00:00.0,,1,00:00:01.5090659,00:00:01.5090659,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,2,00:04:58.2,00:02:29.1,0,00:00:00.0,,1,00:00:01.4340939,00:00:01.4340939,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,Cling with partner entire session,not,not,not,not,not
5,2021 bass-cy0735-2021-5-25-ta1141,cy0735,2021-5-25,Blank Park Zoo,ta,05/25/2021 11:41:42 AM,05/25/2021 11:46:44 AM,00:05:02,2021 bass.csv,bass,00:05:00.8,00:05:02,Assessment,Single,a270c1,5,Inactive,5,Inactive,00:04:45.7,Inactive,5,Inactive,00:04:45.7,5,00:04:45.7,00:00:57.1,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,2,00:00:03.3,00:00:01.6,1,00:00:04.1333011,00:00:04.1333011,1,00:00:02.8938925,00:00:02.8938925,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,1,00:00:04.8075490,00:00:04.8075490,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,,not,Inactive,not,not,not
6,2021 bass-c19015-2021-5-25-mr1022,c19015,2021-5-25,Blank Park Zoo,mr,05/25/2021 10:22:27 AM,05/25/2021 10:27:30 AM,00:05:03,2021 bass.csv,2021 bass,00:05:01.7,00:05:03,Assessment,Pair,c436c9,7,Locomotion,9,Locomotion,00:04:31.0,Locomotion,9,Locomotion,00:04:31.0,2,00:00:08.2,00:00:04.1,9,00:04:31.0,00:00:30.1,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,2,00:00:04.1,00:00:02.1,2,00:00:05.7,00:00:02.9,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,2,00:00:05.1,00:00:02.5,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,1,00:00:02.0397402,00:00:02.0397402,0,00:00:00.0,,0,00:00:00.0,,1,00:00:05.5326069,00:00:05.5326069,0,00:00:00.0,,,not,not,not,not,not
7,2021 bass-rh2962-2021-5-25-ta1048,rh2962,2021-5-25,Blank Park Zoo,ta,05/25/2021 10:48:20 AM,05/25/2021 10:53:22 AM,00:05:02,2021 bass.csv,bass,00:05:00.9,00:05:02,Assessment,Pair,a275c7,1,Inactive,1,Inactive,00:05:00.9107941,Inactive,1,Inactive,00:05:00.9107941,1,00:05:00.9107941,00:05:00.9107941,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,,not,Inactive,not,not,not
8,2021 bass-R19108-2021-5-25-Js1240,R19108,2021-5-25,Blank Park Zoo,Js,05/25/2021 12:40:22 PM,05/25/2021 12:45:42 PM,00:05:19,2021 bass.csv,2021bass,00:05:01.1,00:05:19,Assessment,Pair,bmqh1c5,3,Headtoss,1,Cling,00:04:57.9116334,Headtoss,1,Social/play,00:00:03.0566595,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,1,00:00:00.1066348,00:00:00.1066348,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,1,00:04:57.9116334,00:04:57.9116334,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,1,00:00:03.0566595,00:00:03.0566595,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,Cling with partner entire session,not,not,not,not,not
9,2021 bass-R12016-2021-5-18-BNP1210,R12016,2021-5-18,Other Site,BNP,05/18/2021 12:10:35 PM,05/18/2021 12:15:37 PM,00:05:01,2021 bass.csv,Bass2021,00:05:00.5,00:05:01,Assessment,Single,Ab165c5,3,Inactive,3,Inactive,00:04:26.8,Inactive,3,Inactive,00:04:26.8,3,00:04:26.8,00:01:28.9,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,3,00:00:28.0,00:00:09.3,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,1,00:00:05.7446997,00:00:05.7446997,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,,not,not,not,not,not
10,2021 bass-r19019-2021-5-25-Js1201,r19019,2021-5-25,Blank Park Zoo,Js,05/25/2021 12:01:32 PM,05/25/2021 12:06:35 PM,00:05:02,2021 bass.csv,2021bass,00:05:01.0,00:05:02,Assessment,Pair,bmqh1c31,5,Inactive,39,Inactive,00:02:30.1,Inactive,39,Inactive,00:02:30.1,39,00:02:30.1,00:00:03.8,21,00:00:46.0,00:00:02.2,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,30,00:00:58.1,00:00:01.9,22,00:00:44.9,00:00:02.0,0,00:00:00.0,,0,00:00:00.0,,1,00:00:01.9108656,00:00:01.9108656,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,,not,not,not,not,not
11,2021 bass-R05074-2021-5-18-BNP1158,R05074,2021-5-18,Other Site,BNP,05/18/2021 11:58:03 AM,05/18/2021 12:03:04 PM,00:05:01,2021 bass.csv,Bass2021,00:05:00.6,00:05:01,Assessment,Single,Ab165c3,3,Groom,2,Groom,00:04:11.1,Inactive,1,Inactive,00:00:44.4020447,1,00:00:44.4020447,00:00:44.4020447,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,1,00:00:05.0714717,00:00:05.0714717,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,2,00:04:11.1,00:02:05.5,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,,not,not,not,not,not
12,2021 bass-r18011-2021-5-25-ta1053,r18011,2021-5-25,Blank Park Zoo,ta,05/25/2021 10:53:45 AM,05/25/2021 10:59:01 AM,00:05:16,2021 bass.csv,bass,00:05:15.0,00:05:16,Assessment,Pair,a275c7,5,Inactive,2,Groom,00:01:47.8,Inactive,2,Inactive,00:01:13.2,2,00:01:13.2,00:00:36.6,1,00:00:01.3052026,00:00:01.3052026,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,1,00:00:56.9981944,00:00:56.9981944,2,00:01:47.8,00:00:53.9,1,00:01:15.6970887,00:01:15.6970887,0,00:00:00.0,,0,00:00:00.0,,,not,not,not,not,not
13,2021 bass-R19007-2021-5-25-Js1155,R19007,2021-5-25,Blank Park Zoo,Js,05/25/2021 11:55:32 AM,05/25/2021 12:00:35 PM,00:05:03,2021 bass.csv,2021bass,00:05:01.5,00:05:03,Assessment,Pair,bmqh1c31,6,Inactive,31,Inactive,00:02:57.8,Inactive,31,Inactive,00:02:57.8,31,00:02:57.8,00:00:05.7,21,00:01:18.2,00:00:03.7,1,00:00:03.2262012,00:00:03.2262012,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,17,00:00:37.4,00:00:02.2,0,00:00:00.0,,1,00:00:02.8620530,00:00:02.8620530,1,00:00:02.0548299,00:00:02.0548299,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,,not,not,not,not,not
14,2021 bass-r18022-2021-5-25-ta1031,r18022,2021-5-25,Blank Park Zoo,ta,05/25/2021 10:31:09 AM,05/25/2021 10:36:13 AM,00:05:03,2021 bass.csv,bass,00:05:00.7,00:05:03,Assessment,Pair,a275c1,5,Inactive,4,Inactive,00:04:23.6,Inactive,4,Inactive,00:04:23.6,4,00:04:23.6,00:01:05.9,4,00:00:17.3,00:00:04.3,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,1,00:00:15.4145855,00:00:15.4145855,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,1,00:00:01.7372342,00:00:01.7372342,1,00:00:02.6769835,00:00:02.6769835,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,,not,not,not,not,not
15,2021 bass-r18023-2021-5-25-mr1101,r18023,2021-5-25,Blank Park Zoo,mr,05/25/2021 11:01:41 AM,05/25/2021 11:06:49 AM,00:05:07,2021 bass.csv,2021 bass,00:05:05.2,00:05:07,Assessment,Pair,c436c23,6,Inactive,13,Inactive,00:02:02.2,Inactive,13,Inactive,00:02:02.2,13,00:02:02.2,00:00:09.4,8,00:01:50.9,00:00:13.9,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,4,00:00:25.2,00:00:06.3,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,1,00:00:09.4136506,00:00:09.4136506,2,00:00:10.9,00:00:05.4,1,00:00:26.5565707,00:00:26.5565707,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,,not,not,not,not,not
16,2021 bass-cy0726-2021-5-25-ta1025,cy0726,2021-5-25,Blank Park Zoo,ta,05/25/2021 10:25:29 AM,05/25/2021 10:30:44 AM,00:05:14,2021 bass.csv,bass,00:05:13.8,00:05:14,Assessment,Single,a275c4,4,Locomotion,2,Pacing,00:04:39.1,Locomotion,2,Pacing,00:04:39.1,1,00:00:06.4203243,00:00:06.4203243,2,00:00:14.6,00:00:07.3,2,00:04:39.1,00:02:19.5,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,1,00:00:13.6391812,00:00:13.6391812,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,,not,not,Pacing,Pacing,not
17,2021 bass-cy0723-2021-5-25-ta1019,cy0723,2021-5-25,Blank Park Zoo,ta,05/25/2021 10:19:57 AM,05/25/2021 10:25:00 AM,00:05:02,2021 bass.csv,bass,00:05:01.0,00:05:02,Assessment,Single,a275c3,6,Inactive,6,Groom,00:02:17.9,Inactive,6,Inactive,00:02:15.5,6,00:02:15.5,00:00:22.6,4,00:00:22.1,00:00:05.5,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,1,00:00:02.2997169,00:00:02.2997169,1,00:00:02.3890871,00:00:02.3890871,0,00:00:00.0,,0,00:00:00.0,,1,00:00:00.7939528,00:00:00.7939528,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,4,00:02:17.9,00:00:34.5,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,,not,not,not,not,not
